NAME,B01001_001E,state,county
"Bay County, Michigan",104786,26,017
"Bayamón Municipio, Puerto Rico",182955,72,021
"Bayfield County, Wisconsin",14992,55,007
"Baylor County, Texas",3591,48,023
"Beadle County, South Dakota",18374,46,005
"Bear Lake County, Idaho",5962,16,007
"Beaufort County, North Carolina",47243,37,013
"Beaufort County, South Carolina",182658,45,013
"Beauregard Parish, Louisiana",36769,22,011
"Beaver County, Oklahoma",5415,40,007
"Beaver County, Pennsylvania",166896,42,007
"Beaver County, Utah",6443,49,001
"Beaverhead County, Montana",9393,30,001
"Becker County, Minnesota",33773,27,005
"Beckham County, Oklahoma",22621,40,009
"Bedford County, Pennsylvania",48611,42,009
"Bedford County, Tennessee",47558,47,003
"Bedford County, Virginia",77908,51,019
"Bee County, Texas",32691,48,025
"Belknap County, New Hampshire",60640,33,001
"Bell County, Kentucky",27188,21,013
"Bell County, Texas",342236,48,027
"Belmont County, Ohio",68472,39,013
"Beltrami County, Minnesota",46117,27,007
"Ben Hill County, Georgia",17154,13,017
"Benewah County, Idaho",9086,16,009
"Bennett County, South Dakota",3437,46,007
"Bennington County, Vermont",35920,50,003
"Benson County, North Dakota",6886,38,005
"Bent County, Colorado",5809,08,011
"Benton County, Arkansas",258980,05,007
"Benton County, Indiana",8667,18,007
"Benton County, Iowa",25626,19,011
"Benton County, Minnesota",39779,27,009
"Benton County, Mississippi",8253,28,009
"Benton County, Missouri",18989,29,015
"Benton County, Oregon",89780,41,003
"Benton County, Tennessee",16112,47,005
"Benton County, Washington",194168,53,005
"Benzie County, Michigan",17552,26,019
"Bergen County, New Jersey",929999,34,003
"Berkeley County, South Carolina",209065,45,015
"Berkeley County, West Virginia",113495,54,003
"Berks County, Pennsylvania",416642,42,011
"Berkshire County, Massachusetts",127328,25,003
"Bernalillo County, New Mexico",677692,35,001
"Berrien County, Georgia",19025,13,019
"Berrien County, Michigan",154807,26,021
"Bertie County, North Carolina",19644,37,015
"Bethel Census Area, Alaska",18040,02,050
"Bexar County, Texas",1925865,48,029
"Bibb County, Alabama",22527,01,007
"Bibb County, Georgia",153490,13,021
"Bienville Parish, Louisiana",13668,22,013
"Big Horn County, Montana",13376,30,003
"Big Horn County, Wyoming",11901,56,003
"Big Stone County, Minnesota",5016,27,011
"Billings County, North Dakota",946,38,007
"Bingham County, Idaho",45551,16,011
"Black Hawk County, Iowa",133009,19,013
"Blackford County, Indiana",12129,18,009
"Bladen County, North Carolina",33778,37,017
"Blaine County, Idaho",21994,16,013
"Blaine County, Montana",6727,30,005
"Blaine County, Nebraska",480,31,009
"Blaine County, Oklahoma",9634,40,011
"Blair County, Pennsylvania",123842,42,013
"Blanco County, Texas",11279,48,031
"Bland County, Virginia",6447,51,021
"Bleckley County, Georgia",12775,13,023
"Bledsoe County, Tennessee",14602,47,007
"Blount County, Alabama",57645,01,009
"Blount County, Tennessee",128443,47,009
"Blue Earth County, Minnesota",66322,27,013
"Boise County, Idaho",7163,16,015
"Bolivar County, Mississippi",32592,28,011
"Bollinger County, Missouri",12281,29,017
"Bon Homme County, South Dakota",6969,46,009
"Bond County, Illinois",16712,17,005
"Bonner County, Idaho",42711,16,017
"Bonneville County, Idaho",112397,16,019
"Boone County, Arkansas",37288,05,009
"Boone County, Illinois",53606,17,007
"Boone County, Indiana",64321,18,011
"Boone County, Iowa",26399,19,015
"Boone County, Kentucky",129095,21,015
"Boone County, Missouri",176515,29,019
"Boone County, Nebraska",5313,31,011
"Boone County, West Virginia",22817,54,005
"Borden County, Texas",665,48,033
"Bosque County, Texas",18122,48,035
"Bossier Parish, Louisiana",126131,22,015
"Botetourt County, Virginia",33222,51,023
"Bottineau County, North Dakota",6589,38,009
"Boulder County, Colorado",321030,08,013
"Boundary County, Idaho",11549,16,021
"Bourbon County, Kansas",14702,20,011
"Bourbon County, Kentucky",20144,21,017
"Bowie County, Texas",93858,48,037
"Bowman County, North Dakota",3195,38,011
"Box Butte County, Nebraska",11089,31,013
"Box Elder County, Utah",53001,49,003
"Boyd County, Kentucky",48091,21,019
"Boyd County, Nebraska",2042,31,015
"Boyle County, Kentucky",29913,21,021
"Bracken County, Kentucky",8306,21,023
"Bradford County, Florida",26979,12,007
"Bradford County, Pennsylvania",61304,42,015
"Bradley County, Arkansas",10948,05,011
"Bradley County, Tennessee",104557,47,011
"Branch County, Michigan",43584,26,023
"Brantley County, Georgia",18561,13,025
"Braxton County, West Virginia",14282,54,007
"Brazoria County, Texas",353999,48,039
"Brazos County, Texas",219193,48,041
"Breathitt County, Kentucky",13116,21,025
"Breckinridge County, Kentucky",20080,21,027
"Bremer County, Iowa",24782,19,017
"Brevard County, Florida",576808,12,009
"Brewster County, Texas",9216,48,043
"Briscoe County, Texas",1546,48,045
"Bristol Bay Borough, Alaska",890,02,060
"Bristol County, Massachusetts",558905,25,005
"Bristol County, Rhode Island",48900,44,001
"Bristol city, Virginia",16843,51,520
"Broadwater County, Montana",5834,30,007
"Bronx County, New York",1437872,36,005
"Brooke County, West Virginia",22772,54,009
"Brookings County, South Dakota",34239,46,011
"Brooks County, Georgia",15622,13,027
"Brooks County, Texas",7180,48,047
"Broome County, New York",194402,36,007
